bytes,catalog_path,catalog_source,filename,folder,folder_title,mtime,relative_path,sha256,suffix
1633319,photos/scanned/sculpture_14_porch/20260708_145345_flatbed_001.jpg,filesystem,20260708_145345_flatbed_001.jpg,sculpture_14_porch,Sculpture 14 Porch,2026-07-08T14:57:42,sculpture_14_porch/20260708_145345_flatbed_001.jpg,55a7dd860f8df52749684ae9eaeeb01abfe2061c2d7519f3196c0e359e2c0bdf,.jpg
1002602,photos/scanned/sculpture_14_porch/20260708_145936_flatbed_001.jpg,filesystem,20260708_145936_flatbed_001.jpg,sculpture_14_porch,Sculpture 14 Porch,2026-07-08T15:03:47,sculpture_14_porch/20260708_145936_flatbed_001.jpg,71ad47d2d01d25b808fdc15e2a499fd0654492549b692c2fe9fac94fda38b0fd,.jpg
1092352,photos/scanned/sculpture_14_porch/20260708_150307_flatbed_002.jpg,filesystem,20260708_150307_flatbed_002.jpg,sculpture_14_porch,Sculpture 14 Porch,2026-07-08T15:09:28,sculpture_14_porch/20260708_150307_flatbed_002.jpg,95d705552104429b38008d10843847413e968ba16c5ccb4806525f0597725cdb,.jpg
2079287,photos/scanned/sculpture_14_porch/20260708_150943_flatbed_001.jpg,filesystem,20260708_150943_flatbed_001.jpg,sculpture_14_porch,Sculpture 14 Porch,2026-07-08T15:13:19,sculpture_14_porch/20260708_150943_flatbed_001.jpg,29ab8f37148a0e3a622a01e81eb7c66912e98e97d15a00481ef7fc3a25394fd7,.jpg
